timestamp,PT1_bar,PT2_bar,LC1_g,LC2_g,LC_total_g,Flow1_gs,Flow2_gs
12:08:37.445438,0.9925309506170451,1.0061952718831597,3758.0895584454393,3758.0895584454393,3758.0895584454393,0.0,0.0
12:08:37.508695,1.0098662973679602,1.028833185315132,3756.441727358606,3756.441727358606,3756.441727358606,0.0,0.0
12:08:37.571140,1.011497838564217,1.0280174532458186,3758.4364164016256,3758.4364164016256,3758.4364164016256,0.0,0.0
12:08:37.630013,1.0135372457951306,1.0312805356383323,3737.6239158506924,3737.6239158506924,3737.6239158506924,0.0,0.0
12:08:37.695775,1.0149649695605039,1.0290370798036454,3763.5528270503114,3763.5528270503114,3763.5528270503114,0.0,0.0
12:08:37.757176,1.005175568267703,1.0061952718831597,3741.786211324918,3741.786211324918,3741.786211324918,0.0,0.0
12:08:37.817391,1.0041558646522462,1.0090504882410167,3754.4475499054943,3754.4475499054943,3754.4475499054943,0.0,0.0
12:08:37.881381,0.9921230845823883,0.9957941100671887,3750.2847428413643,3750.2847428413643,3750.2847428413643,0.0,0.0
12:08:37.945634,0.9927349221631884,1.0049715967215596,3744.561074974399,3744.561074974399,3744.561074974399,0.0,0.0
12:08:38.006064,0.9943664633594452,1.00925445978716,3749.070739994716,3749.070739994716,3749.070739994716,0.0,0.0
12:08:38.067958,1.0031360839791594,1.0212872398570179,3753.666863709123,3753.666863709123,3753.666863709123,0.0,0.0
12:08:38.130974,1.017820108860731,1.0278134046420453,3742.4799272372875,3742.4799272372875,3742.4799272372875,0.0,0.0
12:08:38.197969,0.9996690300405024,1.0110899725295601,3760.951392378921,3760.951392378921,3760.951392378921,0.0,0.0
12:08:38.263045,0.985596842739731,1.0027282179445027,3744.994903214584,3744.994903214584,3744.994903214584,0.0,0.0
12:08:38.331461,1.0112939440757036,1.031076641149819,3740.485749784176,3740.485749784176,3740.485749784176,0.0,0.0
12:08:38.379829,0.9984453548789023,0.9937546257786452,3759.910818510365,3759.910818510365,3759.910818510365,0.0,0.0
12:08:38.447218,1.0027282179445027,1.0151688640490173,3736.5828303922317,3736.5828303922317,3736.5828303922317,0.0,0.0
12:08:38.513939,1.0190437840223312,1.0261819405034183,3770.316557195926,3770.316557195926,3770.316557195926,0.0,0.0
12:08:38.579890,0.9974256512634455,0.995386166974902,3751.5852043821064,3751.5852043821064,3751.5852043821064,0.0,0.0
12:08:38.629591,1.0110899725295601,1.032912153892219,3744.735015542398,3744.735015542398,3744.735015542398,0.0,0.0
12:08:38.696600,1.006399243429303,1.0149649695605039,3745.2547908867705,3745.2547908867705,3745.2547908867705,0.0,0.0
12:08:38.762846,0.9823336832895874,1.0025242463983595,3748.723882038529,3748.723882038529,3748.723882038529,0.0,0.0
12:08:38.831137,1.0239384846687316,1.033523991473019,3739.531634609712,3739.531634609712,3739.531634609712,0.0,0.0
12:08:38.879862,0.9955901385210454,0.9972216797173022,3748.203595104252,3748.203595104252,3748.203595104252,0.0,0.0
12:08:38.946216,0.9945704349055885,1.0200635646954177,3739.271235347621,3739.271235347621,3739.271235347621,0.0,0.0
12:08:39.013502,1.0155768071413038,1.0278134046420453,3762.0784249415706,3762.0784249415706,3762.0784249415706,0.0,0.0
12:08:39.079765,0.9933467597439884,0.9939585973247884,3736.2359724360454,3736.2359724360454,3736.2359724360454,0.0,0.0
12:08:39.129728,1.0139451888874171,1.0300568604767322,4077.0443779843736,4077.0443779843736,4077.0443779843736,0.0,0.0
12:08:39.197888,1.00925445978716,1.0100702689141035,3641.8849808646705,3641.8849808646705,3641.8849808646705,0.0,0.0
12:08:39.265683,0.9949783009402453,1.0070110810101032,3797.980781356282,3797.980781356282,3797.980781356282,0.0,0.0
12:08:39.328000,1.0015045427829026,1.0212872398570179,3638.15651363063,3638.15651363063,3638.15651363063,0.0,0.0
12:08:39.379860,0.9921230845823883,0.991307275455445,4022.4106687558424,4022.4106687558424,4022.4106687558424,0.0,0.0
12:08:39.448002,1.0000768960751591,1.016800482302904,3719.065992014965,3719.065992014965,3719.065992014965,0.0,0.0
12:08:39.514028,1.0227148095071315,1.028833185315132,3724.2688613577466,3724.2688613577466,3724.2688613577466,0.0,0.0
12:08:39.576659,1.0072149754986166,1.020675402276218,3708.6592301495944,3708.6592301495944,3708.6592301495944,0.0,0.0
12:08:39.631084,1.0176162143722176,1.0376028059348463,3859.1178214683364,3859.1178214683364,3859.1178214683364,0.0,0.0
12:08:39.697570,1.0013005712367593,1.0117018101103603,3754.9678368397713,3754.9678368397713,3754.9678368397713,0.0,0.0
12:08:39.762649,0.9900836002938448,0.9988532209135591,3698.686808114312,3698.686808114312,3698.686808114312,0.0,0.0
12:08:39.824606,0.9917151414901018,1.005175568267703,3746.382335039325,3746.382335039325,3746.382335039325,0.0,0.0
12:08:39.880112,0.9921230845823883,0.9939585973247884,3805.8720556544527,3805.8720556544527,3805.8720556544527,0.0,0.0
12:08:39.947746,1.0033400555253027,1.018431946441531,3757.7427004892547,3757.7427004892547,3757.7427004892547,0.0,0.0
12:08:40.013539,1.0245503222495316,1.0290370798036454,3722.6215418608176,3722.6215418608176,3722.6215418608176,0.0,0.0
12:08:40.074854,1.0139451888874171,1.0227148095071315,3752.0190326222896,3752.0190326222896,3752.0190326222896,0.0,0.0
12:08:40.129259,1.017820108860731,1.0278134046420453,3756.7885853147923,3756.7885853147923,3756.7885853147923,0.0,0.0
12:08:40.195061,1.0165964336991309,1.0182280519530176,3757.7427004892547,3757.7427004892547,3757.7427004892547,0.0,0.0
12:08:40.258674,1.0019124088175593,1.0053795398138463,3734.935510895303,3734.935510895303,3734.935510895303,0.0,0.0
12:08:40.321479,0.986208680320531,1.0010966767482459,3772.9185034572215,3772.9185034572215,3772.9185034572215,0.0,0.0
12:08:40.379736,0.9925309506170451,1.0025242463983595,3749.5040566449943,3749.5040566449943,3749.5040566449943,0.0,0.0
12:08:40.445685,0.9937546257786452,1.0135372457951306,3756.7021266206984,3756.7021266206984,3756.7021266206984,0.0,0.0
12:08:40.511014,1.0112939440757036,1.0371950169578195,3737.6234042607875,3737.6234042607875,3737.6234042607875,0.0,0.0
12:08:40.574024,1.014353131979704,1.0290370798036454,3757.9161294673468,3757.9161294673468,3757.9161294673468,0.0,0.0
12:08:40.635222,1.0088465937525033,1.0180241574645041,3762.4257944876617,3762.4257944876617,3762.4257944876617,0.0,0.0
12:08:40.696376,1.0117018101103603,1.0153727585375307,3737.1036289164153,3737.1036289164153,3737.1036289164153,0.0,0.0
12:08:40.761804,0.9896757342591881,1.000484839167446,3763.465856766313,3763.465856766313,3763.465856766313,0.0,0.0
12:08:40.824277,0.9876362499706446,1.0049715967215596,3745.081361908678,3745.081361908678,3745.081361908678,0.0,0.0
12:08:40.880237,1.0013005712367593,1.0008927052021026,3750.2847428413643,3750.2847428413643,3750.2847428413643,0.0,0.0
12:08:40.946079,0.9998730015866457,1.016188644722104,3761.3847090291993,3761.3847090291993,3761.3847090291993,0.0,0.0
12:08:41.013852,1.0176162143722176,1.024754216738045,3750.7180594916426,3750.7180594916426,3750.7180594916426,0.0,0.0
12:08:41.079359,1.0008927052021026,1.015984596118331,3757.9161294673468,3757.9161294673468,3757.9161294673468,0.0,0.0
12:08:41.129739,1.0108860009834169,1.0253660543188452,3757.3958425330698,3757.3958425330698,3757.3958425330698,0.0,0.0
12:08:41.196124,1.011497838564217,1.012109676145017,3741.6127823468237,3741.6127823468237,3741.6127823468237,0.0,0.0
12:08:41.262506,0.9876362499706446,1.0006887336559593,3765.7209450714236,3765.7209450714236,3765.7209450714236,0.0,0.0
12:08:41.328878,1.0070110810101032,1.0286292908266186,3763.292427788219,3763.292427788219,3763.292427788219,0.0,0.0
12:08:41.391756,1.0176162143722176,1.0243464277610181,3746.6427343014175,3746.6427343014175,3746.6427343014175,0.0,0.0
12:08:41.446334,1.0039518931061029,1.016188644722104,3757.5692715111622,3757.5692715111622,3757.5692715111622,0.0,0.0
12:08:41.513095,1.023530541576445,1.0278134046420453,3752.365890578476,3752.365890578476,3752.365890578476,0.0,0.0
12:08:41.579106,0.9986493264250457,0.9959980045557021,3738.9243773914345,3738.9243773914345,3738.9243773914345,0.0,0.0
12:08:41.628874,1.0061952718831597,1.0194517271146177,3764.3330016567747,3764.3330016567747,3764.3330016567747,0.0,0.0
12:08:41.695951,1.0049715967215596,1.0104781349487602,3751.759144950105,3751.759144950105,3751.759144950105,0.0,0.0
12:08:41.762887,0.986208680320531,1.0066031379178166,3778.989029280371,3778.989029280371,3778.989029280371,0.0,0.0
12:08:41.829075,1.0066031379178166,1.0227148095071315,3760.5175641387377,3760.5175641387377,3760.5175641387377,0.0,0.0
12:08:41.892676,1.011497838564217,1.0237345901802182,3742.220039565101,3742.220039565101,3742.220039565101,0.0,0.0
12:08:41.946664,0.9935506542325019,1.0127215137258172,3767.4547232624445,3767.4547232624445,3767.4547232624445,0.0,0.0
12:08:42.012534,1.0208792967647313,1.0267937780842185,3739.0978063695284,3739.0978063695284,3739.0978063695284,0.0,0.0
12:08:42.079049,0.9986493264250457,1.0053795398138463,3753.9272629712154,3753.9272629712154,3753.9272629712154,0.0,0.0
12:08:42.128901,1.0061952718831597,1.022510915018618,3763.205969094127,3763.205969094127,3763.205969094127,0.0,0.0
12:08:42.196340,1.0145570264682173,1.005175568267703,3751.4122869939188,3751.4122869939188,3751.4122869939188,0.0,0.0
12:08:42.262017,0.9874323554821312,1.0017085143290458,3755.3146947959563,3755.3146947959563,3755.3146947959563,0.0,0.0
12:08:42.329954,1.0082347561717033,1.0237345901802182,3769.7967818515535,3769.7967818515535,3769.7967818515535,0.0,0.0
