timestamp,PT1_bar,PT2_bar,LC1_g,LC2_g,LC_total_g,Flow1_gs,Flow2_gs
13:12:54.728252,0.9990571924597024,1.0119057816565036,4008.882696874709,4008.882696874709,4008.882696874709,0.0,0.0
13:12:54.787771,1.002932189490646,1.012109676145017,4009.2295548308934,4009.2295548308934,4009.2295548308934,0.0,0.0
13:12:54.849297,1.0047677022330461,1.0078268130794166,4015.6464270203214,4015.6464270203214,4015.6464270203214,0.0,0.0
13:12:54.914167,0.9990571924597024,1.0049715967215596,4007.1484070937818,4007.1484070937818,4007.1484070937818,0.0,0.0
13:12:54.975494,1.0053795398138463,1.0039518931061029,4015.7339088942267,4015.7339088942267,4015.7339088942267,0.0,0.0
13:12:55.040103,1.0053795398138463,1.011497838564217,4016.687512478784,4016.687512478784,4016.687512478784,0.0,0.0
13:12:55.098590,1.0045637306869029,1.005787405848503,3994.92089675339,3994.92089675339,3994.92089675339,0.0,0.0
13:12:55.160625,0.9998730015866457,1.0053795398138463,4016.7744827627826,4016.7744827627826,4016.7744827627826,0.0,0.0
13:12:55.223626,1.0047677022330461,1.011497838564217,4010.2701286994497,4010.2701286994497,4010.2701286994497,0.0,0.0
13:12:55.290199,1.0019124088175593,1.0110899725295601,4006.4546911814105,4006.4546911814105,4006.4546911814105,0.0,0.0
13:12:55.348719,1.0061952718831597,1.0061952718831597,4019.9826630625444,4019.9826630625444,4019.9826630625444,0.0,0.0
13:12:55.416264,0.9998730015866457,1.0074189470447599,4007.7551527221526,4007.7551527221526,4007.7551527221526,0.0,0.0
13:12:55.482799,1.0066031379178166,1.0151688640490173,4020.069121756638,4020.069121756638,4020.069121756638,0.0,0.0
13:12:55.546777,1.0035440270714462,1.005787405848503,4018.5087725437097,4018.5087725437097,4018.5087725437097,0.0,0.0
13:12:55.598292,1.0049715967215596,1.0043597591407596,4012.091388764375,4012.091388764375,4012.091388764375,0.0,0.0
13:12:55.664816,1.0059913003370164,1.0076229185909031,4016.6870008888777,4016.6870008888777,4016.6870008888777,0.0,0.0
13:12:55.731819,1.0019124088175593,1.0066031379178166,4006.0208629412255,4006.0208629412255,4006.0208629412255,0.0,0.0
13:12:55.798652,1.005175568267703,1.0027282179445027,4009.7498417651705,4009.7498417651705,4009.7498417651705,0.0,0.0
13:12:55.851168,1.0035440270714462,1.014353131979704,4020.1560920406364,4020.1560920406364,4020.1560920406364,0.0,0.0
13:12:55.911168,1.0047677022330461,1.0088465937525033,4002.986111619558,4002.986111619558,4002.986111619558,0.0,0.0
13:12:55.982377,1.0033400555253027,1.0059913003370164,4010.0966997213573,4010.0966997213573,4010.0966997213573,0.0,0.0
13:12:56.048269,1.0045637306869029,1.0090504882410167,4045.7386568739757,4045.7386568739757,4045.7386568739757,0.0,0.0
13:12:56.099276,0.9968138136826454,1.00925445978716,4016.7739711728777,4016.7739711728777,4016.7739711728777,0.0,0.0
13:12:56.165790,1.012109676145017,1.0119057816565036,4012.611675698654,4012.611675698654,4012.611675698654,0.0,0.0
13:12:56.223791,1.0049715967215596,1.0080307846255598,4022.1507810836565,4022.1507810836565,4022.1507810836565,0.0,0.0
13:12:56.287315,1.0059913003370164,1.0100702689141035,3995.5276423817613,3995.5276423817613,3995.5276423817613,0.0,0.0
13:12:56.348864,0.9986493264250457,1.0059913003370164,4005.240688334762,4005.240688334762,4005.240688334762,0.0,0.0
13:12:56.413195,1.0017085143290458,1.0053795398138463,4004.2001144662063,4004.2001144662063,4004.2001144662063,0.0,0.0
