timestamp,PT1_bar,PT2_bar,LC1_kg,LC2_kg,LC_total_kg,Flow1_kgs,Flow2_kgs
19:22:33.110277,1.015984596118331,1.0286292908266186,625.9776552860715,625.9776552860715,625.9776552860715,1000000.0,1000000.0
19:22:33.172735,1.016800482302904,1.0341358290538192,618.519697638181,618.519697638181,618.519697638181,1000000.0,1000000.0
19:22:33.235665,1.0190437840223312,1.0323003163114188,637.1645917579087,637.1645917579087,637.1645917579087,1000000.0,1000000.0
19:22:33.298392,1.0200635646954177,1.0367870738655327,633.522583217962,633.522583217962,633.522583217962,1000000.0,1000000.0
19:22:33.356843,1.016188644722104,1.0357672931924462,657.8041749206527,657.8041749206527,657.8041749206527,1000000.0,1000000.0
19:22:33.422835,1.0208792967647313,1.0365831793770193,654.9423409871711,654.9423409871711,654.9423409871711,1000000.0,1000000.0
19:22:33.485817,1.0180241574645041,1.0318923732191323,643.842374799334,643.842374799334,643.842374799334,1000000.0,1000000.0
19:22:33.547871,1.0137412943989037,1.0359713417962193,631.6143528690361,631.6143528690361,631.6143528690361,1000000.0,1000000.0
19:22:33.610971,1.0188398895338178,1.032708105288446,656.5032017900058,656.5032017900058,656.5032017900058,1000000.0,1000000.0
19:22:33.672985,1.0147609209567308,1.0308725925460456,623.2033032264948,623.2033032264948,623.2033032264948,1000000.0,1000000.0
19:22:33.734993,1.017820108860731,1.0347476666346191,629.7936043940169,629.7936043940169,629.7936043940169,1000000.0,1000000.0
19:22:33.796911,1.017820108860731,1.0347476666346191,620.6878156592932,620.6878156592932,620.6878156592932,1000000.0,1000000.0
19:22:33.860287,1.0182280519530176,1.032708105288446,649.3056434042064,649.3056434042064,649.3056434042064,1000000.0,1000000.0
19:22:33.922770,1.015984596118331,1.032912153892219,656.5901720740044,656.5901720740044,656.5901720740044,1000000.0,1000000.0
19:22:33.985029,1.0190437840223312,1.0253660543188452,620.427927987107,620.427927987107,620.427927987107,1000000.0,1000000.0
19:22:34.048421,1.0188398895338178,1.0355633987039328,621.9018185059415,621.9018185059415,621.9018185059415,1000000.0,1000000.0
19:22:34.111933,1.018635995045304,1.0265897294804454,666.3891651311928,666.3891651311928,666.3891651311928,1000000.0,1000000.0
19:22:34.175933,1.0180241574645041,1.0367870738655327,681.9987963393448,681.9987963393448,681.9987963393448,1000000.0,1000000.0
19:22:34.237976,1.0174123198837042,1.0325042107999325,750.9411636453809,750.9411636453809,750.9411636453809,1000000.0,1000000.0
19:22:34.301264,1.0163925392106175,1.0320962677076457,804.5332758255448,804.5332758255448,804.5332758255448,1000000.0,1000000.0
19:22:34.363993,1.024142379157245,1.0343397235423326,852.7496012747413,852.7496012747413,852.7496012747413,1000000.0,1000000.0
19:22:34.426257,1.0221029719263315,1.0357672931924462,798.8101195484862,798.8101195484862,798.8101195484862,1000000.0,1000000.0
19:22:34.488844,1.0214911343455313,1.0343397235423326,759.0923256157361,759.0923256157361,759.0923256157361,1000000.0,1000000.0
19:22:34.552132,1.018431946441531,1.0296489173844456,787.0164374482797,787.0164374482797,787.0164374482797,1000000.0,1000000.0
19:22:34.613975,1.0204715077877045,1.034543618030846,764.1222775703297,764.1222775703297,764.1222775703297,1000000.0,1000000.0
19:22:34.678657,1.015984596118331,1.0357672931924462,738.4532540428968,738.4532540428968,738.4532540428968,1000000.0,1000000.0
19:22:34.741026,1.023530541576445,1.0343397235423326,801.0646962636905,801.0646962636905,801.0646962636905,1000000.0,1000000.0
19:22:34.804727,1.0210833453685044,1.033523991473019,699.863004262701,699.863004262701,699.863004262701,1000000.0,1000000.0
19:22:34.866571,1.0188398895338178,1.0306686980575321,756.4908909443453,756.4908909443453,756.4908909443453,1000000.0,1000000.0
19:22:34.929030,1.0180241574645041,1.0347476666346191,839.1346591096074,839.1346591096074,839.1346591096074,1000000.0,1000000.0
19:22:34.991831,1.018431946441531,1.0349515611231326,883.3616064727678,883.3616064727678,883.3616064727678,1000000.0,1000000.0
19:22:35.052870,1.0157807016298175,1.0284252422228455,895.5891168131593,895.5891168131593,895.5891168131593,1000000.0,1000000.0
19:22:35.115393,1.0174123198837042,1.0431093441620467,1010.8395792194677,1010.8395792194677,1010.8395792194677,1000000.0,1000000.0
19:22:35.177527,1.0145570264682173,1.0298529659882187,1045.527421197624,1045.527421197624,1045.527421197624,1000000.0,1000000.0
19:22:35.240254,1.0180241574645041,1.034543618030846,984.7367274518497,984.7367274518497,984.7367274518497,1000000.0,1000000.0
19:22:35.302205,1.018635995045304,1.0355633987039328,1041.8854126576775,1041.8854126576775,1041.8854126576775,1000000.0,1000000.0
19:22:35.364654,1.0182280519530176,1.0296489173844456,1050.6438318463101,1050.6438318463101,1050.6438318463101,1000000.0,1000000.0
19:22:35.428148,1.0119057816565036,1.028833185315132,1055.9341830629965,1055.9341830629965,1055.9341830629965,1000000.0,1000000.0
19:22:35.490951,1.0190437840223312,1.0325042107999325,1068.508039769668,1068.508039769668,1068.508039769668,1000000.0,1000000.0
19:22:35.552983,1.0131294568181037,1.0296489173844456,969.388007095695,969.388007095695,969.388007095695,1000000.0,1000000.0
19:22:35.610951,1.014353131979704,1.0347476666346191,953.6049469094507,953.6049469094507,953.6049469094507,1000000.0,1000000.0
19:22:35.678945,1.0129254852719605,1.0333199428692459,1014.4820993493191,1014.4820993493191,1014.4820993493191,1000000.0,1000000.0
19:22:35.740715,1.0149649695605039,1.035155455611646,952.9976896911734,952.9976896911734,952.9976896911734,1000000.0,1000000.0
19:22:35.802292,1.0251621598303318,1.0422936120927333,945.3663030651907,945.3663030651907,945.3663030651907,1000000.0,1000000.0
19:22:35.864561,1.0127215137258172,1.0343397235423326,977.1923111098655,977.1923111098655,977.1923111098655,1000000.0,1000000.0
19:22:35.927274,1.0194517271146177,1.0376028059348463,1017.2564514088957,1017.2564514088957,1017.2564514088957,1000000.0,1000000.0
19:22:35.990032,1.016800482302904,1.0325042107999325,1018.2975368673581,1018.2975368673581,1018.2975368673581,1000000.0,1000000.0
19:22:36.052906,1.016188644722104,1.0353595042154191,992.108226405648,992.108226405648,992.108226405648,1000000.0,1000000.0
19:22:36.115799,1.016800482302904,1.0349515611231326,954.3851215159158,954.3851215159158,954.3851215159158,1000000.0,1000000.0
19:22:36.178055,1.0149649695605039,1.0361752362847327,941.3774365690592,941.3774365690592,941.3774365690592,1000000.0,1000000.0
19:22:36.241245,1.0147609209567308,1.034543618030846,967.7401760088618,967.7401760088618,967.7401760088618,1000000.0,1000000.0
19:22:36.302730,1.018635995045304,1.035155455611646,967.4797767467709,967.4797767467709,967.4797767467709,1000000.0,1000000.0
19:22:36.364959,1.0094584313333033,1.0265897294804454,1029.8313312953785,1029.8313312953785,1029.8313312953785,1000000.0,1000000.0
19:22:36.426420,1.014353131979704,1.0312805356383323,999.7396130316307,999.7396130316307,999.7396130316307,1000000.0,1000000.0
19:22:36.489055,1.0125176192373035,1.032912153892219,1019.1646817578217,1019.1646817578217,1019.1646817578217,1000000.0,1000000.0
19:22:36.551806,1.0137412943989037,1.0308725925460456,1022.1129743853971,1022.1129743853971,1022.1129743853971,1000000.0,1000000.0
19:22:36.610786,1.0223070205301046,1.0439250762313603,988.8995345159799,988.8995345159799,988.8995345159799,1000000.0,1000000.0
19:22:36.677642,1.0127215137258172,1.0359713417962193,1006.9371714174284,1006.9371714174284,1006.9371714174284,1000000.0,1000000.0
19:22:36.740212,1.0192478326261043,1.028833185315132,986.384558538683,986.384558538683,986.384558538683,1000000.0,1000000.0
19:22:36.802688,1.0192478326261043,1.0363791307732462,1035.988315812622,1035.988315812622,1035.988315812622,1000000.0,1000000.0
19:22:36.866158,1.0176162143722176,1.0296489173844456,1071.2834150090557,1071.2834150090557,1071.2834150090557,1000000.0,1000000.0
19:22:36.928540,1.0180241574645041,1.0314844301268458,1073.2775924621692,1073.2775924621692,1073.2775924621692,1000000.0,1000000.0
19:22:36.989616,1.0182280519530176,1.032708105288446,1054.7196686264417,1054.7196686264417,1054.7196686264417,1000000.0,1000000.0
19:22:37.053849,1.0182280519530176,1.0290370798036454,1062.0041972962397,1062.0041972962397,1062.0041972962397,1000000.0,1000000.0
19:22:37.114925,1.0292411284074185,1.0363791307732462,1118.9789419340689,1118.9789419340689,1118.9789419340689,1000000.0,1000000.0
19:22:37.177807,1.0255701029226183,1.0359713417962193,1112.3886407665484,1112.3886407665484,1112.3886407665484,1000000.0,1000000.0
19:22:37.240949,1.0318923732191323,1.037398911446333,1107.4451475060484,1107.4451475060484,1107.4451475060484,1000000.0,1000000.0
