timestamp,PT1_bar,PT2_bar,LC1_kg,LC2_kg,LC_total_kg,Flow1_Lmin,Flow2_Lmin
15:05:08.074798,0.9974256512634455,1.024754216738045,0.005134689621627331,0.0046147494576871395,0.00974943907931447,0.502179741859436,-1.420547366142273
15:05:08.137437,0.9972216797173022,1.0239384846687316,0.005140372551977634,0.0046209851279854774,0.009761357679963112,0.5024163722991943,-1.4310358762741089
15:05:08.199016,0.9966098421365022,1.0239384846687316,0.00513808336108923,0.004618064500391483,0.009756147861480713,0.4981570243835449,-1.4293798208236694
15:05:08.262036,0.9976296228095888,1.0210833453685044,0.005132400430738926,0.0046089873649179935,0.00974138779565692,0.5020219683647156,-1.4361618757247925
15:05:08.325569,0.9976296228095888,1.022510915018618,0.005133899860084057,0.004613407421857119,0.009747307281941175,0.5013120770454407,-1.4419186115264893
15:05:08.383108,0.9917151414901018,1.0139451888874171,0.005135241895914078,0.004615460056811571,0.009750701952725649,0.5033628940582275,-1.41376531124115
15:05:08.447119,0.9990571924597024,1.023530541576445,0.005136110354214907,0.004610723815858364,0.00974683417007327,0.5053347945213318,-1.4367138147354126
15:05:08.513662,0.994774329394102,1.0223070205301046,0.0051398989744484425,0.004618380218744278,0.00975827919319272,0.5013909339904785,-1.454694151878357
15:05:08.576256,0.9976296228095888,1.026385834991932,0.005132084712386131,0.0046142758801579475,0.009746360592544079,0.5033628940582275,-1.4367927312850952
15:05:08.638246,0.9959980045557021,1.0182280519530176,0.005134847480803728,0.0046146707609295845,0.009749518241733313,0.5014698505401611,-1.434584617614746
15:05:08.700809,0.9908994094207881,1.0147609209567308,0.005130584817379713,0.0046143545769155025,0.009744939394295216,0.5018641948699951,-1.4344269037246704
15:05:08.761844,0.991307275455445,1.0208792967647313,0.005134689621627331,0.00461214454844594,0.00974683417007327,0.5033628940582275,-1.4258310794830322
15:05:08.825375,0.995386166974902,1.0223070205301046,0.005136583931744099,0.0046100132167339325,0.009746597148478031,0.5044671297073364,-1.4360040426254272
15:05:08.886942,0.991307275455445,1.0210833453685044,0.0051337420009076595,0.004613565281033516,0.009747307281941175,0.5032839775085449,-1.4334805011749268
15:05:08.952935,1.0031360839791594,1.0274056156650184,0.0051279012113809586,0.0046142758801579475,0.009742177091538906,0.5032839775085449,-1.449252724647522
15:05:09.015493,0.9929388166517018,1.0221029719263315,0.005137767642736435,0.004623116459697485,0.00976088410243392,0.5038361549377441,-1.436556100845337
15:05:09.080070,0.9949783009402453,1.0227148095071315,0.005132242571562529,0.004614986479282379,0.009747229050844908,0.5009965896606445,-1.4465714693069458
15:05:09.144072,0.9957941100671887,1.0198596702069043,0.00514005683362484,0.00461648590862751,0.00975654274225235,0.5027318596839905,-1.442865014076233
