timestamp,PT1_bar,PT2_bar,LC1_N,LC2_N,Flow_Lmin
12:51:02.745955,-182.58590698242188,-182.58590698242188,-100.2349853515625,-100.64979553222656,-9.556462287902832
12:51:02.816210,-202.32004165649414,-202.32004165649414,-101.3145923614502,-101.35244369506836,-9.64037036895752
12:51:02.880587,-199.87377166748047,-199.87377166748047,-100.35879135131836,-100.45105934143066,-9.553938865661621
12:51:02.947302,-200.8816146850586,-200.8816146850586,-100.30516624450684,-100.06464958190918,-9.526731491088867
12:51:03.013863,-202.2806167602539,-202.2806167602539,-101.3003921508789,-101.33430480957031,-9.638635635375977
12:51:03.079458,-200.11981964111328,-200.11981964111328,-100.39743423461914,-100.46841621398926,-9.554254531860352
12:51:03.129720,-201.820068359375,-201.820068359375,-100.97784996032715,-101.14503860473633,-9.628225326538086
12:51:03.197645,-202.23329544067383,-202.23329544067383,-101.29566192626953,-101.1552906036377,-9.589583396911621
12:51:03.258753,-199.9668312072754,-199.9668312072754,-100.37772178649902,-100.46210289001465,-9.554411888122559
12:51:03.320864,-202.35946655273438,-202.35946655273438,-101.33114814758301,-101.36506080627441,-9.6420259475708
12:51:03.391008,-200.85954666137695,-200.85954666137695,-101.07484817504883,-101.2112808227539,-9.631616592407227
12:51:03.453528,-200.65765380859375,-200.65765380859375,-100.1182746887207,-100.31147956848145,-9.546683311462402
12:51:03.516666,-202.3232078552246,-202.3232078552246,-101.33824348449707,-101.3761043548584,-9.643051147460938
12:51:03.577384,-200.72389602661133,-200.72389602661133,-100.11116981506348,-100.07411003112793,-9.530043601989746
12:51:03.632594,-202.36736297607422,-202.36736297607422,-100.83353996276855,-101.00939750671387,-9.620339393615723
12:51:03.703590,-202.34054565429688,-202.34054565429688,-101.04804039001465,-100.86507797241211,-9.607327461242676
12:51:03.764894,-200.41160583496094,-200.41160583496094,-100.46052932739258,-100.50863265991211,-9.55693531036377
12:51:03.827511,-202.35631942749023,-202.35631942749023,-101.32641792297363,-101.26096725463867,-9.59376335144043
12:51:03.888460,-199.91636276245117,-199.91636276245117,-100.55594444274902,-100.89189529418945,-9.61245346069336
12:51:03.950934,-200.75544357299805,-200.75544357299805,-100.52204132080078,-100.55357933044434,-9.560720443725586
12:51:04.010022,-202.40047454833984,-202.40047454833984,-100.93447685241699,-100.93290328979492,-9.61497688293457
12:51:04.065795,-200.49362182617188,-200.49362182617188,-100.1182746887207,-100.30674934387207,-9.545973777770996
12:51:04.129667,-202.3358154296875,-202.3358154296875,-101.33509635925293,-101.36899948120117,-9.642499923706055
12:51:04.201094,-202.26484298706055,-202.26484298706055,-101.3027572631836,-101.34061813354492,-9.63981819152832
12:51:04.265997,-199.73499298095703,-199.73499298095703,-100.3154182434082,-100.43292045593262,-9.552755355834961
12:51:04.328599,-202.3421287536621,-202.3421287536621,-101.32641792297363,-101.35401725769043,-9.640054702758789
12:51:04.389189,-200.76807022094727,-200.76807022094727,-100.23103713989258,-100.66950798034668,-9.60212230682373
12:51:04.450395,-200.6418800354004,-200.6418800354004,-100.52204132080078,-100.56619644165039,-9.562376976013184
12:51:04.505424,-202.3105812072754,-202.3105812072754,-101.3398265838623,-101.37767791748047,-9.642105102539062
12:51:04.568132,-200.79172134399414,-200.79172134399414,-100.04651069641113,-100.20343780517578,-9.541399955749512
12:51:04.638885,-202.41941452026367,-202.41941452026367,-100.9187126159668,-100.40532112121582,-9.541163444519043
